,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year
368,349,Kelly Olynyk,C,31,UTA,39,39,28.5,4.0,8.0,.503,1.5,3.5,.413,2.6,4.5,.575,.595,2.6,3.2,.831,1.1,3.8,5.0,3.3,1.1,0.6,2.3,4.0,12.2,2023
369,350,Eugene Omoruyi,SF,25,OKC,20,2,12.4,2.1,4.3,.482,0.4,1.5,.276,1.7,2.8,.589,.529,0.7,1.1,.619,1.0,1.4,2.3,0.6,0.7,0.0,0.7,2.1,5.2,2023
370,351,Cedi Osman,SF,27,CLE,43,0,22.2,3.4,7.3,.463,1.3,4.0,.339,2.0,3.3,.613,.556,1.0,1.6,.652,0.3,2.1,2.3,1.5,0.5,0.1,0.8,1.8,9.1,2023
371,352,Kelly Oubre Jr.,SF,27,CHO,35,30,32.6,7.5,17.8,.421,2.3,7.4,.308,5.2,10.4,.503,.486,2.9,4.0,.714,1.5,3.6,5.1,1.2,1.6,0.4,1.3,3.0,20.2,2023
372,353,Chris Paul,PG,37,PHO,26,26,31.1,4.4,10.3,.425,1.7,4.2,.398,2.7,6.2,.444,.506,2.7,3.3,.802,0.5,3.7,4.2,8.3,1.5,0.3,2.0,2.4,13.1,2023
373,354,Cameron Payne,PG,28,PHO,28,14,24.0,4.5,11.0,.412,1.7,4.5,.378,2.8,6.5,.436,.490,1.4,1.8,.776,0.3,2.0,2.3,5.3,0.9,0.2,2.0,2.0,12.1,2023
374,355,Gary Payton II,PG,30,POR,5,0,16.2,2.0,2.4,.833,0.8,0.8,1.000,1.2,1.6,.750,1.000,0.0,0.0,,0.0,2.2,2.2,2.0,1.4,0.0,1.0,2.6,4.8,2023
375,356,Theo Pinson,SG,27,DAL,23,0,5.5,0.5,1.5,.353,0.4,1.0,.375,0.1,0.4,.300,.485,0.3,0.4,.889,0.1,1.0,1.2,0.6,0.1,0.0,0.2,0.4,1.8,2023
376,357,Scotty Pippen Jr.,PG,22,LAL,5,0,5.2,0.6,2.0,.300,0.2,0.6,.333,0.4,1.4,.286,.350,0.8,1.4,.571,0.4,0.4,0.8,0.2,0.4,0.2,0.4,0.6,2.2,2023
377,358,Mason Plumlee,C,32,CHO,45,45,28.3,4.4,6.7,.657,0.0,0.0,,4.4,6.7,.657,.657,2.6,4.3,.598,3.4,6.4,9.8,3.7,0.6,0.7,1.6,3.0,11.4,2023
378,359,Jakob Poeltl,C,27,SAS,35,35,26.5,5.3,8.3,.632,0.0,0.0,,5.3,8.3,.632,.632,1.7,3.0,.587,3.5,5.9,9.4,2.9,0.8,1.2,2.0,2.5,12.3,2023
379,360,Aleksej Pokusevski,PF,21,OKC,31,25,21.8,3.5,7.8,.440,1.2,3.3,.376,2.2,4.6,.486,.519,0.7,1.1,.636,1.5,3.6,5.1,2.0,0.6,1.3,1.3,1.8,8.8,2023
380,Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,2023
