,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Year,W,L,W/L%,GB,PS/G,PA/G,SRS
459,Jerami Grant,PF,28,POR,41,41,35.7,7.4,15.0,0.493,2.5,5.9,0.428,4.9,9.1,0.535,0.577,4.4,5.6,0.794,1.0,3.3,4.3,2.5,0.9,0.8,1.9,2.4,21.7,2023,21,22,0.488,9.0,113.3,112.6,0.42
460,Josh Hart,SF,27,POR,41,41,34.3,3.6,7.2,0.503,0.7,2.0,0.333,2.9,5.1,0.571,0.551,1.8,2.4,0.742,2.0,6.4,8.4,4.1,1.1,0.2,1.7,2.7,9.7,2023,21,22,0.488,9.0,113.3,112.6,0.42
461,Keon Johnson,SG,20,POR,22,0,11.5,1.8,4.9,0.361,0.8,2.3,0.333,1.0,2.6,0.386,0.44,0.2,0.6,0.385,0.3,1.2,1.5,1.0,0.5,0.2,1.2,1.2,4.5,2023,21,22,0.488,9.0,113.3,112.6,0.42
462,Damian Lillard,PG,32,POR,31,31,35.6,8.9,19.7,0.45,3.9,10.8,0.361,5.0,8.9,0.558,0.549,7.2,8.1,0.892,0.6,3.3,3.9,7.1,0.9,0.3,3.2,1.9,28.8,2023,21,22,0.488,9.0,113.3,112.6,0.42
463,Nassir Little,SF,22,POR,22,0,15.4,2.1,4.4,0.474,0.9,2.2,0.396,1.2,2.2,0.551,0.572,0.7,1.0,0.652,0.4,2.0,2.3,0.9,0.4,0.2,0.6,0.9,5.7,2023,21,22,0.488,9.0,113.3,112.6,0.42
464,Jusuf Nurkić,C,28,POR,38,38,28.5,5.5,10.2,0.535,0.9,2.2,0.402,4.6,8.1,0.57,0.577,2.9,4.2,0.689,2.4,7.6,10.0,3.0,0.9,0.9,2.6,3.7,14.7,2023,21,22,0.488,9.0,113.3,112.6,0.42
466,Shaedon Sharpe,SG,19,POR,42,5,19.7,3.1,6.5,0.469,0.9,2.5,0.34,2.2,4.0,0.55,0.535,0.5,0.9,0.611,0.8,1.7,2.5,0.5,0.4,0.2,0.7,1.6,7.5,2023,21,22,0.488,9.0,113.3,112.6,0.42
467,Anfernee Simons,SG,23,POR,41,41,35.8,7.7,17.5,0.442,3.7,9.8,0.374,4.1,7.7,0.527,0.546,2.8,3.1,0.898,0.3,2.6,2.9,4.0,0.8,0.3,2.1,2.5,21.9,2023,21,22,0.488,9.0,113.3,112.6,0.42
468,Jabari Walker,SF,20,POR,27,0,9.2,0.9,2.2,0.407,0.1,0.6,0.188,0.8,1.6,0.488,0.432,0.5,0.8,0.667,1.0,1.4,2.4,0.6,0.1,0.2,0.4,1.3,2.4,2023,21,22,0.488,9.0,113.3,112.6,0.42
469,Trendon Watford,PF,22,POR,30,2,15.8,1.7,3.2,0.542,0.3,0.8,0.333,1.5,2.4,0.611,0.583,1.2,1.5,0.783,0.7,2.9,3.6,1.5,0.4,0.1,0.9,1.8,4.9,2023,21,22,0.488,9.0,113.3,112.6,0.42
470,Justise Winslow,SF,26,POR,29,11,26.8,2.8,6.8,0.409,0.5,1.6,0.311,2.3,5.3,0.438,0.444,0.7,1.0,0.714,1.7,3.3,5.0,3.4,1.0,0.4,1.5,3.1,6.8,2023,21,22,0.488,9.0,113.3,112.6,0.42
472,Joel Embiid,C,28,PHI,32,32,34.9,11.2,20.9,0.536,1.1,3.1,0.35,10.1,17.8,0.569,0.562,9.9,11.6,0.855,1.7,8.1,9.8,4.3,1.1,1.7,3.7,3.3,33.4,2023,27,16,0.628,5.0,113.8,110.2,3.03
474,James Harden,PG,33,PHI,28,28,37.1,6.9,15.3,0.449,2.9,7.4,0.389,4.0,7.9,0.505,0.543,5.6,6.5,0.868,0.6,5.9,6.5,11.2,1.3,0.6,3.5,2.2,22.3,2023,27,16,0.628,5.0,113.8,110.2,3.03
475,Montrezl Harrell,C,29,PHI,39,6,12.5,2.3,3.9,0.583,0.0,0.1,0.0,2.3,3.8,0.591,0.583,1.4,1.9,0.72,1.2,1.6,2.7,0.7,0.3,0.5,0.7,1.4,5.9,2023,27,16,0.628,5.0,113.8,110.2,3.03
476,Tobias Harris,PF,30,PHI,39,39,34.1,6.4,13.0,0.496,1.9,5.1,0.374,4.5,7.9,0.575,0.569,1.5,1.8,0.87,1.1,5.2,6.3,2.6,1.0,0.6,1.3,2.1,16.3,2023,27,16,0.628,5.0,113.8,110.2,3.03
477,Danuel House Jr.,SF,29,PHI,32,2,16.4,1.7,3.5,0.473,0.7,2.1,0.333,1.0,1.4,0.674,0.571,0.8,1.1,0.75,0.2,1.8,2.0,0.8,0.2,0.2,0.5,1.3,4.8,2023,27,16,0.628,5.0,113.8,110.2,3.03
478,Furkan Korkmaz,SG,25,PHI,23,0,10.9,1.3,3.3,0.395,0.5,1.5,0.343,0.8,1.8,0.439,0.474,0.8,1.3,0.655,0.2,1.0,1.2,0.8,0.3,0.1,0.7,0.4,4.0,2023,27,16,0.628,5.0,113.8,110.2,3.03
480,Tyrese Maxey,SG,22,PHI,24,21,34.4,7.6,16.8,0.452,2.5,6.4,0.39,5.1,10.4,0.49,0.526,3.2,4.0,0.784,0.4,2.6,3.0,3.9,0.9,0.2,1.8,2.2,20.8,2023,27,16,0.628,5.0,113.8,110.2,3.03
481,De'Anthony Melton,PG,24,PHI,40,31,29.5,4.1,9.8,0.42,2.4,6.0,0.395,1.8,3.9,0.458,0.539,0.6,0.8,0.71,1.0,3.6,4.6,3.0,1.9,0.5,1.5,2.4,11.2,2023,27,16,0.628,5.0,113.8,110.2,3.03
482,Shake Milton,SG,26,PHI,39,9,23.6,4.0,7.9,0.506,0.9,2.3,0.389,3.1,5.6,0.555,0.563,1.4,1.7,0.833,0.5,2.5,3.0,3.3,0.3,0.2,1.5,1.8,10.4,2023,27,16,0.628,5.0,113.8,110.2,3.03
483,Georges Niang,PF,29,PHI,41,0,19.8,3.1,7.1,0.443,2.3,5.6,0.408,0.9,1.5,0.571,0.603,0.6,0.7,0.926,0.3,2.0,2.3,1.1,0.4,0.2,0.8,2.0,9.2,2023,27,16,0.628,5.0,113.8,110.2,3.03
484,Paul Reed,C,23,PHI,34,0,10.0,1.4,2.5,0.56,0.0,0.1,0.0,1.4,2.4,0.588,0.56,0.4,0.5,0.778,1.4,2.1,3.4,0.4,0.7,0.6,0.6,2.0,3.2,2023,27,16,0.628,5.0,113.8,110.2,3.03
486,Matisse Thybulle,SG,25,PHI,39,6,12.1,1.0,2.3,0.418,0.4,1.3,0.308,0.6,1.0,0.564,0.505,0.1,0.2,0.5,0.3,0.9,1.2,0.5,0.8,0.3,0.2,1.3,2.4,2023,27,16,0.628,5.0,113.8,110.2,3.03
487,P.J. Tucker,PF,37,PHI,41,41,27.0,1.2,3.0,0.405,0.7,1.7,0.38,0.5,1.2,0.44,0.517,0.3,0.3,0.857,1.3,3.0,4.2,0.8,0.5,0.2,0.8,2.5,3.3,2023,27,16,0.628,5.0,113.8,110.2,3.03
488,Josh Christopher,SG,21,HOU,26,0,7.5,1.1,3.0,0.359,0.2,1.1,0.143,0.9,1.9,0.48,0.385,0.3,0.5,0.75,0.2,0.8,1.0,0.7,0.2,0.1,0.6,0.7,2.7,2023,10,34,0.227,20.5,109.6,117.5,-7.63
489,Tari Eason,PF,21,HOU,44,0,18.7,3.1,7.0,0.438,0.8,2.0,0.375,2.3,5.0,0.464,0.492,1.1,1.4,0.8,2.0,3.3,5.3,0.9,1.1,0.5,0.9,2.2,8.0,2023,10,34,0.227,20.5,109.6,117.5,-7.63
490,Bruno Fernando,C,24,HOU,22,4,11.2,1.4,2.5,0.554,0.0,0.0,0.0,1.4,2.5,0.564,0.554,0.8,1.3,0.621,1.4,2.1,3.5,1.0,0.2,0.7,0.5,2.1,3.6,2023,10,34,0.227,20.5,109.6,117.5,-7.63
491,Usman Garuba,PF,20,HOU,42,1,14.2,1.3,2.4,0.525,0.2,0.5,0.409,1.0,1.9,0.557,0.569,0.5,0.8,0.559,1.8,2.9,4.7,1.0,0.7,0.5,0.7,1.8,3.2,2023,10,34,0.227,20.5,109.6,117.5,-7.63
492,Eric Gordon,SG,34,HOU,38,38,29.7,4.1,9.6,0.427,1.8,5.2,0.352,2.3,4.4,0.515,0.522,2.2,2.7,0.812,0.3,1.7,1.9,2.6,0.5,0.3,1.5,0.8,12.2,2023,10,34,0.227,20.5,109.6,117.5,-7.63
493,Jalen Green,SG,20,HOU,43,43,34.6,7.2,17.7,0.405,2.4,7.5,0.325,4.7,10.2,0.464,0.474,4.7,5.9,0.791,0.6,3.7,4.3,3.6,0.8,0.2,2.9,1.7,21.5,2023,10,34,0.227,20.5,109.6,117.5,-7.63
495,Boban Marjanović,C,34,HOU,15,0,4.0,1.0,1.5,0.682,0.0,0.1,0.0,1.0,1.4,0.714,0.682,0.7,0.9,0.786,0.5,1.0,1.5,0.2,0.1,0.1,0.3,0.1,2.7,2023,10,34,0.227,20.5,109.6,117.5,-7.63
496,Kenyon Martin Jr.,SF,22,HOU,44,11,24.6,4.3,7.9,0.55,0.9,2.9,0.325,3.4,5.0,0.679,0.61,1.4,2.3,0.626,1.4,3.6,4.9,1.3,0.4,0.3,1.1,1.7,11.0,2023,10,34,0.227,20.5,109.6,117.5,-7.63
497,Garrison Mathews,SG,26,HOU,37,0,12.8,1.3,3.7,0.355,1.2,3.4,0.357,0.1,0.3,0.333,0.518,0.9,1.0,0.944,0.2,1.1,1.3,0.5,0.6,0.1,0.4,1.3,4.8,2023,10,34,0.227,20.5,109.6,117.5,-7.63
498,Daishen Nix,PG,20,HOU,35,1,14.0,1.1,3.1,0.355,0.7,2.1,0.329,0.4,1.0,0.412,0.467,0.5,0.7,0.68,0.3,1.2,1.5,2.4,0.7,0.1,1.4,0.9,3.3,2023,10,34,0.227,20.5,109.6,117.5,-7.63
499,Kevin Porter Jr.,PG,22,HOU,40,40,34.0,6.7,15.4,0.437,2.2,6.4,0.346,4.5,9.0,0.501,0.509,3.5,4.6,0.766,1.4,4.1,5.5,5.6,1.3,0.4,3.6,2.7,19.2,2023,10,34,0.227,20.5,109.6,117.5,-7.63
500,Alperen Şengün,C,20,HOU,40,37,27.1,5.9,10.4,0.564,0.2,0.7,0.286,5.7,9.7,0.584,0.573,3.0,3.9,0.768,3.3,5.4,8.7,3.1,0.8,1.0,2.3,3.4,14.9,2023,10,34,0.227,20.5,109.6,117.5,-7.63
501,Jabari Smith Jr.,PF,19,HOU,43,43,29.9,4.3,11.0,0.39,1.8,5.7,0.316,2.5,5.3,0.47,0.472,1.7,2.2,0.798,1.2,5.7,7.0,1.0,0.6,0.9,1.3,3.1,12.1,2023,10,34,0.227,20.5,109.6,117.5,-7.63
502,Jae'Sean Tate,SF,27,HOU,8,2,20.1,2.8,6.6,0.415,0.5,1.8,0.286,2.3,4.9,0.462,0.453,0.8,0.9,0.857,1.6,1.6,3.3,3.5,1.1,0.1,1.3,3.4,6.8,2023,10,34,0.227,20.5,109.6,117.5,-7.63
503,TyTy Washington Jr.,PG,21,HOU,13,0,10.8,1.3,3.8,0.34,0.2,1.8,0.13,1.1,2.1,0.519,0.37,0.2,0.5,0.5,0.1,1.2,1.2,1.3,0.4,0.0,0.3,1.2,3.1,2023,10,34,0.227,20.5,109.6,117.5,-7.63
